"Date","Open","High","Low","Close","Adj Close","Volume"
"2023-02-09","2.905","2.95","2.9","2.95","2.885352","3100"
"2023-02-10","2.921","2.93","2.915","2.93","2.86579","3400"
"2023-02-13","2.9","2.98","2.85","2.98","2.914694","32000"
"2023-02-14","2.99","2.99","2.935","2.99","2.924475","600"
"2023-02-15","2.925","2.958","2.925","2.958","2.893176","900"
"2023-02-16","2.93","2.97","2.93","2.97","2.904913","900"
"2023-02-17","2.921","2.921","2.921","2.921","2.856987","500"
"2023-02-21","3.01","3.01","2.97","2.98","2.914694","23300"
"2023-02-22","3","3","2.91","2.91","2.846228","12600"
"2023-02-23","2.95","2.98","2.95","2.97","2.904913","1900"
"2023-02-24","2.93","2.96","2.915","2.915","2.851119","2300"
"2023-02-27","2.82","2.82","2.82","2.82","2.758201","26500"
"2023-02-28","2.713","2.75","2.713","2.75","2.689735","1200"
"2023-03-02","2.66","2.69","2.66","2.69","2.63105","1100"
"2023-03-03","2.653","2.653","2.616","2.616","2.558671","2100"
"2023-03-06","2.63","2.63","2.63","2.63","2.572365","300"
"2023-03-07","2.673","2.673","2.645","2.66","2.601707","1600"
"2023-03-08","2.624","2.65","2.56","2.56","2.503898","9900"
"2023-03-09","2.69","2.69","2.573","2.573","2.516613","4200"
"2023-03-10","2.62","2.62","2.55","2.61","2.552803","3900"
"2023-03-13","2.69","2.69","2.663","2.663","2.604641","2300"
"2023-03-14","2.66","2.67","2.585","2.585","2.528351","2200"
"2023-03-15","2.406","2.43","2.35","2.43","2.376747","4600"
"2023-03-16","2.41","2.41","2.31","2.31","2.259377","17000"
"2023-03-17","2.39","2.47","2.33","2.47","2.415871","13000"
"2023-03-20","2.429","2.46","2.39","2.425","2.371857","4400"
"2023-03-21","2.59","2.605","2.57","2.605","2.547912","1800"
"2023-03-22","2.63","2.72","2.576","2.72","2.660392","1000"
"2023-03-23","2.68","2.76","2.62","2.76","2.699516","600"
"2023-03-24","2.59","2.59","2.57","2.57","2.513679","6800"
"2023-03-27","2.55","2.61","2.5","2.61","2.552803","1700"
"2023-03-28","2.66","2.67","2.66","2.67","2.611488","1400"
"2023-03-29","2.673","2.673","2.655","2.655","2.596817","400"
"2023-03-30","2.68","2.69","2.66","2.69","2.63105","20200"
"2023-03-31","2.585","2.63","2.54","2.628","2.570408","3900"
"2023-04-03","2.616","2.616","2.59","2.59","2.533241","800"
"2023-04-04","2.57","2.66","2.57","2.66","2.601707","3300"
"2023-04-05","2.65","2.65","2.49","2.57","2.513679","4100"
"2023-04-06","2.58","2.61","2.58","2.61","2.552803","1200"
"2023-04-10","2.415","2.46","2.415","2.46","2.40609","500"
"2023-04-11","2.357","2.37","2.32","2.32","2.269158","3600"
"2023-04-12","2.405","2.44","2.405","2.44","2.386528","6600"
"2023-04-13","2.4","2.45","2.35","2.35","2.298501","5900"
"2023-04-14","2.39","2.39","2.37","2.37","2.318062","700"
"2023-04-17","2.345","2.39","2.32","2.39","2.337624","14000"
"2023-04-18","2.4","2.4","2.35","2.4","2.347405","22500"
"2023-04-19","2.388","2.388","2.3","2.345","2.29361","1100"
"2023-04-20","2.39","2.39","2.39","2.39","2.337624","1900"
"2023-04-21","2.31","2.44","2.31","2.44","2.386528","80000"
"2023-04-24","2.37","2.37","2.37","2.37","2.318062","81900"
"2023-04-25","2.325","2.39","2.25","2.25","2.200692","5700"
"2023-04-26","2.34","2.34","2.34","2.34","2.28872","700"
"2023-04-27","2.345","2.345","2.3","2.3","2.249596","41200"
"2023-04-28","2.3","2.33","2.3","2.33","2.278939","200"
"2023-05-01","2.382","2.43","2.382","2.43","2.376747","2500"
"2023-05-02","2.295","2.295","2.28","2.28","2.230035","1400"
